property_id,check_in_date,room_category,successful_bookings,capacity
11259,01-May-22,HRT1,25,30
14262,01-May-22,HRT1,28,30
14263,01-May-22,HRT1,23,30
12258,01-May-22,HRT1,13,19
11258,01-May-22,HRT1,18,19
12260,01-May-22,HRT1,28,40
14258,01-May-22,HRT1,25,40
14260,01-May-22,HRT1,23,26
12261,01-May-22,HRT1,22,26
11260,01-May-22,HRT1,24,34
11261,01-May-22,HRT1,16,18
11262,01-May-22,HRT1,20,31
11263,01-May-22,HRT1,36,41
12259,01-May-22,HRT1,26,32
12262,01-May-22,HRT1,12,20
12263,01-May-22,HRT1,21,25
13258,01-May-22,HRT1,11,15
13259,01-May-22,HRT1,29,42
13261,01-May-22,HRT1,31,33
13262,01-May-22,HRT1,34,38
13263,01-May-22,HRT1,18,27
14259,01-May-22,HRT1,18,24
14261,01-May-22,HRT1,25,36
12264,01-May-22,HRT1,9,16
14262,01-May-22,HRT2,23,23
13263,01-May-22,HRT2,21,29
12261,01-May-22,HRT2,32,36
12258,01-May-22,HRT2,38,50
11262,01-May-22,HRT2,30,43
11261,01-May-22,HRT2,24,24
11258,01-May-22,HRT2,21,22
14260,01-May-22,HRT2,37,38
11263,01-May-22,HRT2,37,38
11259,01-May-22,HRT2,35,41
14259,01-May-22,HRT2,32,41
14258,01-May-22,HRT2,25,39
12259,01-May-22,HRT2,34,39
11260,01-May-22,HRT2,25,34
13262,01-May-22,HRT2,33,34
13259,01-May-22,HRT2,29,44
12263,01-May-22,HRT2,40,44
12262,01-May-22,HRT2,19,30
13258,01-May-22,HRT2,21,30
12264,01-May-22,HRT2,25,40
13261,01-May-22,HRT2,35,40
13260,01-May-22,HRT2,34,40
12260,01-May-22,HRT2,31,45
14261,01-May-22,HRT2,35,45
14263,01-May-22,HRT2,36,45
14263,01-May-22,HRT3,20,29
13260,01-May-22,HRT1,27,30
14262,01-May-22,HRT3,25,29
14261,01-May-22,HRT3,23,29
13262,01-May-22,HRT3,28,29
12258,01-May-22,HRT3,21,27
12262,01-May-22,HRT3,15,27
14259,01-May-22,HRT3,19,27
11259,01-May-22,HRT3,27,32
12260,01-May-22,HRT3,19,25
13261,01-May-22,HRT3,23,25
11261,01-May-22,HRT3,21,21
11263,01-May-22,HRT3,17,20
12261,01-May-22,HRT3,16,19
13258,01-May-22,HRT3,18,26
13260,01-May-22,HRT3,21,24
13263,01-May-22,HRT3,16,23
14260,01-May-22,HRT3,16,19
12264,01-May-22,HRT3,16,24
11260,01-May-22,HRT3,15,20
11258,01-May-22,HRT3,8,8
14258,01-May-22,HRT3,13,21
11262,01-May-22,HRT3,14,18
12259,01-May-22,HRT3,14,16
12263,01-May-22,HRT3,14,16
13259,01-May-22,HRT3,14,23
14259,01-May-22,HRT4,2,3
11262,01-May-22,HRT4,4,6
12258,01-May-22,HRT4,4,6
12262,01-May-22,HRT4,4,6
14263,01-May-22,HRT4,4,6
14258,01-May-22,HRT4,4,7
14261,01-May-22,HRT4,5,7
11260,01-May-22,HRT4,6,7
11261,01-May-22,HRT4,9,10
12260,01-May-22,HRT4,10,13
13261,01-May-22,HRT4,8,9
12264,01-May-22,HRT4,9,17
13260,01-May-22,HRT4,14,15
14260,01-May-22,HRT4,15,16
13259,01-May-22,HRT4,11,19
12263,01-May-22,HRT4,17,19
14262,01-May-22,HRT4,13,14
12259,01-May-22,HRT4,13,14
13258,01-May-22,HRT4,14,20
13262,01-May-22,HRT4,19,20
13263,01-May-22,HRT4,13,18
11263,01-May-22,HRT4,17,18
11259,01-May-22,HRT4,17,18
12261,01-May-22,HRT4,3,4
11258,01-May-22,HRT4,3,3
11259,02-May-22,HRT1,20,30
13260,02-May-22,HRT1,21,30
14262,02-May-22,HRT1,20,30
14263,02-May-22,HRT1,14,30
12258,02-May-22,HRT1,10,19
11258,02-May-22,HRT1,12,19
12260,02-May-22,HRT1,22,40
14258,02-May-22,HRT1,16,40
14260,02-May-22,HRT1,14,26
